osmid,name,highway,oneway,length,from,to,lanes,service,access,maxspeed,ref,width,junction,bridge,tunnel,u,v,key
"225877701",25 de Mayo,secondary,"0",34.573000000000000,"5288220202","1001259183",,,,,"44",,,,,"1001259183","5288220202","0"
"100573415",Maipú,secondary,"0",84.858000000000004,"1001259194","1001259183",,,,,"44",,,,,"1001259183","1001259194","0"
"547310456",18 de Septiembre,residential,"0",29.174999999999997,"2346838217","1001259183","1",,,,,,,,,"1001259183","2346838217","0"
"225872650",Baquedano,residential,"0",98.831000000000003,"1001259191","1001259181",,,,,,,,,,"1001259181","1001259191","0"
"547310444",18 de Septiembre,residential,"0",75.498999999999995,"2346838217","1001259181","2",,,,,,,,,"1001259181","2346838217","0"
"547310444",18 de Septiembre,residential,"0",94.912000000000006,"1001258836","1001259181","2",,,,,,,,,"1001259181","1001258836","0"
"85807860",Avenida Arturo Alessandri,residential,"0",50.073999999999998,"1503201367","996081838","2",,,,,,,,,"996081838","1503201367","0"
"711571141",Avenida Arturo Alessandri,residential,"0",55.058999999999997,"5421245973","996081838",,,,,,,,,,"996081838","5421245973","0"
"742714347",Antofagasta,tertiary,"0",43.067999999999998,"996081583","996081838",,,,,,,,,,"996081838","996081583","0"
"601089880",,service,"0",32.112000000000002,"5713756347","5713756339",,parking_aisle,,,,,,,,"5713756339","5713756347","0"
"601089890",,service,"0",27.565000000000001,"5713756342","5713756341",,parking_aisle,,,,,,,,"5713756341","5713756342","0"
"360326405",,service,"0",66.403000000000006,"3648891650","5713756342",,,,,,,,,,"5713756342","3648891650","0"
"225872650",Baquedano,residential,"0",50.590000000000003,"1570023380","1001259191",,,,,,,,,,"1001259191","1570023380","0"
"42826357",Domeyko,tertiary,"0",98.829999999999998,"1001259194","1001259191",,,,,,,,,,"1001259191","1001259194","0"
"42826357",Domeyko,tertiary,"0",81.206999999999994,"535681714","1001259191",,,,,,,,,,"1001259191","535681714","0"
"85807860",Avenida Arturo Alessandri,residential,"0",55.091999999999999,"1503201367","996081840","2",,,,,,,,,"996081840","1503201367","0"
"85807860",Avenida Arturo Alessandri,residential,"0",50.259999999999998,"996081842","996081840","2",,,,,,,,,"996081840","996081842","0"
"601089895",,service,"0",16.329999999999998,"5713756019","5713756345",,parking_aisle,,,,,,,,"5713756345","5713756019","0"
"360326408",,service,"0",50.113999999999997,"5379831015","5713756347",,,,,,,,,,"5713756347","5379831015","0"
"100573415",Maipú,secondary,"0",46.329000000000001,"1570023381","1001259194",,,,,"44",,,,,"1001259194","1570023381","0"
"85807860",Avenida Arturo Alessandri,residential,"0",55.334000000000003,"996081842","996081845","2",,,,,,,,,"996081845","996081842","0"
"85807860",Avenida Arturo Alessandri,residential,"0",55.947000000000003,"996081846","996081845","2",,,,,,,,,"996081845","996081846","0"
"742714350",Valparaíso,residential,"0",27.206000000000000,"1503201426","996081845",,,,,,,,,,"996081845","1503201426","0"
"85807860",Avenida Arturo Alessandri,residential,"0",52.469999999999999,"1503201364","996081846","2",,,,,,,,,"996081846","1503201364","0"
"286684658",Santiago,residential,"0",25.385999999999999,"2705042559","996081846",,,,,,,,,,"996081846","2705042559","0"
"85807860",Avenida Arturo Alessandri,residential,"0",52.594000000000001,"1503201364","996081847","2",,,,,,,,,"996081847","1503201364","0"
"85807860",Avenida Arturo Alessandri,residential,"0",55.634000000000000,"996081570","996081847","2",,,,,,,,,"996081847","996081570","0"
"711571137",Colchagua,residential,"0",21.727000000000000,"996081574","996081847",,,,,,,,,,"996081847","996081574","0"
"85807866",Las Palmeras,residential,"0",94.340999999999994,"1503141646","996081856",,,,,,,,,,"996081856","1503141646","0"
"672802871",Avenida Juan Cisternas,secondary,"0",15.664000000000000,"1503141593","996081856",,,,,,,,,,"996081856","1503141593","0"
"672802871",Avenida Juan Cisternas,secondary,"0",54.905999999999999,"1503141636","996081856",,,,,,,,,,"996081856","1503141636","0"
"90839125",Baquedano,residential,"0",61.043999999999997,"1570023376","1001259204",,,,,,,,,,"1001259204","1570023376","0"
"547310461",25 de Mayo,secondary,"0",117.546999999999997,"401399091","1001259204",,,,,,,,,,"1001259204","401399091","0"
"225872650",Baquedano,residential,"0",81.031000000000006,"1001258850","1001259204",,,,,,,,,,"1001259204","1001258850","0"
"547310461",25 de Mayo,secondary,"0",174.954000000000008,"1001258878","1001259204",,,,,,,,,,"1001259204","1001258878","0"
"137026571",Alejandro Covarrubias,residential,"0",47.738000000000000,"996081094","996081864","2",,,,,,,,,"996081864","996081094","0"
"85808132",Regimiento Arica,primary,"0",90.223999999999990,"996084187","996081864",,,,,,,,,,"996081864","996084187","0"
"373162546",Regimiento Arica,primary,"0",63.372999999999998,"3766699870","996081864",,,,,,,,,,"996081864","3766699870","0"
"85807877",Parque Río Simpson,living_street,"0",157.639999999999986,"996081882","996081879",,,,,,,,,,"996081879","996081882","0"
"85808210",Parque Nacional Hornopirén,residential,"0",20.908999999999999,"1503233404","996081879",,,,"40",,,,,,"996081879","1503233404","0"
"85808210",Parque Nacional Hornopirén,residential,"0",22.911000000000001,"1503233351","996081879",,,,"40",,,,,,"996081879","1503233351","0"
"85807877",Parque Río Simpson,living_street,"0",150.920999999999992,"996081883","996081882",,,,,,,,,,"996081882","996081883","0"
"137034526",Reserva Nacional Los Flamencos,residential,"0",43.665999999999997,"1503233261","996081882",,,,,,,,,,"996081882","1503233261","0"
"137034526",Reserva Nacional Los Flamencos,residential,"0",44.976999999999997,"1503233300","996081882",,,,,,,,,,"996081882","1503233300","0"
"85807877",Parque Río Simpson,living_street,"0",89.855999999999995,"996081884","996081883",,,,,,,,,,"996081883","996081884","0"
