y,x,osmid,highway,v_Input_FID
-29.975108599999999,-71.300964300000004,"1070158117",,"6"
-29.976137999999999,-71.298707100000001,"1070158120",,"6"
-29.977784400000001,-71.298199800000006,"1070158122",,"6"
-29.972238399999998,-71.304322700000000,"1070158132",,"6"
-29.975935600000000,-71.301033599999997,"1070158143",,"6"
-29.977178700000000,-71.299176299999999,"1070158199",,"6"
-29.976035799999998,-71.299861199999995,"1070158227",,"6"
-29.975301999999999,-71.300010099999994,"1070158260",,"6"
-29.974200499999998,-71.299953400000007,"1070158295",,"6"
-29.977707100000000,-71.298348599999997,"1070158340",,"6"
-29.974384300000001,-71.300627700000007,"1070158358",,"6"
-29.975744400000000,-71.301256600000002,"1070158398",,"6"
-29.976539500000001,-71.297960700000004,"1070158423",,"6"
-29.975449200000000,-71.301393500000003,"1070158449",,"6"
-29.977392999999999,-71.299442099999993,"1070158462",,"6"
-29.976450400000001,-71.300006800000006,"1070158483",,"6"
-29.977107000000000,-71.299640699999998,"1070158541",,"6"
-29.975629999999999,-71.299787600000002,"1070158567",,"6"
-29.974701199999998,-71.300419099999999,"1070158574",,"6"
-29.977768300000001,-71.298680700000006,"1070158601",,"6"
-29.976340300000000,-71.298309099999997,"1070158635",,"6"
-29.975751100000000,-71.300412800000004,"1070158673",,"6"
-29.974321799999998,-71.297613200000001,"1070158729",,"6"
-29.968482200000000,-71.298715400000006,"1070158763",,"6"
-29.975570399999999,-71.300207799999995,"1070158781",,"6"
-29.976864800000001,-71.299803499999996,"1070158815",,"6"
-29.975565899999999,-71.300633099999999,"1070158867",,"6"
-29.977497199999998,-71.299622799999995,"1070158869",,"6"
-29.976343900000000,-71.299677599999995,"1070158890",,"6"
-29.967264799999999,-71.300678899999994,"3757331886",,"6"
-29.967956300000001,-71.299560600000007,"3757331916",,"6"
-29.967255200000000,-71.298482100000001,"3757331919",,"6"
-29.967472500000000,-71.300334199999995,"3757331920",,"6"
-29.966728700000001,-71.299229900000000,"3757331922",,"6"
-29.975883499999998,-71.306148199999996,"3774633485",,"6"
-29.976043000000001,-71.306118200000000,"3774633488",,"6"
-29.976312100000001,-71.306551999999996,"3774633497",,"6"
-29.976736299999999,-71.309186100000005,"3774633515",,"6"
-29.976929999999999,-71.306008899999995,"3774633519",,"6"
-29.977634900000002,-71.307907499999999,"3774633527",,"6"
-29.977741999999999,-71.307171100000005,"3774633531",,"6"
-29.978206100000001,-71.308472199999997,"3774633536",,"6"
-29.967847299999999,-71.297766899999999,"3757332551",,"6"
-29.966546000000001,-71.297418800000003,"3757332560",,"6"
-29.967628900000001,-71.297851300000005,"3757332561",,"6"
-29.967287299999999,-71.297368399999996,"3757332565",,"6"
-29.965913600000000,-71.296304800000001,"3757332576",,"6"
-29.966950400000002,-71.297357599999998,"3757332578",,"6"
-29.966630700000000,-71.297445999999994,"3757332581",,"6"
-29.966385400000000,-71.297189200000005,"3757332586",,"6"
-29.968965799999999,-71.299433800000003,"3757333620",,"6"
-29.969449699999998,-71.298676999999998,"3757333622",,"6"
-29.980027900000000,-71.301051599999994,"3758251145",,"6"
-29.974269000000000,-71.307354799999999,"7267900853",,"6"
-29.974177999999998,-71.297609800000004,"7785635254",,"6"
-29.974985100000001,-71.306979200000001,"7267900856",,"6"
-29.974638700000000,-71.307210699999999,"7267900858",,"6"
-29.974206599999999,-71.306250599999998,"7267900859",,"6"
-29.973861500000002,-71.305208800000003,"7267900862",,"6"
-29.974223700000000,-71.305095100000003,"7267900864",,"6"
-29.973699900000000,-71.306475800000001,"7267900865",,"6"
-29.974531299999999,-71.306043799999998,"7267900866",,"6"
-29.973943299999998,-71.306367499999993,"7267900867",,"6"
-29.973479099999999,-71.305771800000002,"7267900868",,"6"
-29.973945000000001,-71.305587599999996,"7267900869",,"6"
-29.973588599999999,-71.306121000000005,"7267900870",,"6"
-29.974052199999999,-71.305925000000002,"7267900871",,"6"
-29.974811400000000,-71.307537900000000,"7267900873",,"6"
-29.979742999999999,-71.299509299999997,"3748553996",,"6"
-29.974939200000001,-71.307855700000005,"6326281539",,"6"
-29.979073000000000,-71.298927300000003,"3758254621",,"6"
-29.971389599999998,-71.299724100000006,"3763497888",,"6"
-29.971492800000000,-71.299985699999993,"3763497915",,"6"
-29.971596500000000,-71.300062900000000,"3763497953",,"6"
-29.971682500000000,-71.300235400000005,"3763497987",,"6"
-29.971649400000000,-71.299905999999993,"3763497992",,"6"
-29.971710099999999,-71.300151600000007,"3763497998",,"6"
-29.971795600000000,-71.299998099999996,"3763498060",,"6"
-29.971519900000001,-71.302415999999994,"6126661403",,"6"
-29.981117000000001,-71.298656199999996,"3748557349",,"6"
-29.968492000000001,-71.301309399999994,"6424000719",turning_circle,"6"
-29.968108999999998,-71.300656500000002,"6424000720",turning_circle,"6"
-29.967693199999999,-71.299990100000002,"6424000721",,"6"
-29.970580399999999,-71.301477899999995,"1795194891",,"6"
-29.970059700000000,-71.302226300000001,"1795194892",,"6"
-29.966390799999999,-71.298524400000005,"5328569624",,"6"
-29.966408099999999,-71.299511199999998,"5328569643",,"6"
-29.966506500000001,-71.299424900000005,"5328569644",,"6"
-29.966510100000001,-71.298690899999997,"5328569645",,"6"
-29.969884700000001,-71.300782900000002,"1503431732",,"6"
-29.971663899999999,-71.302355000000006,"1503431749",,"6"
-29.968979999999998,-71.302056899999997,"1503431764",,"6"
-29.976359899999999,-71.297608299999993,"5713858333",,"6"
-29.975277999999999,-71.299458000000001,"2476117958",,"6"
-29.977436000000001,-71.298991700000002,"2476118132",,"6"
-29.978101500000001,-71.298350499999998,"2476118187",,"6"
-29.978356800000000,-71.302943900000002,"3754989032",,"6"
-29.976568799999999,-71.298006799999996,"3768753148",,"6"
-29.969894000000000,-71.301981900000001,"2705042623",,"6"
-29.970146199999999,-71.302362000000002,"2705042625",,"6"
-29.970422200000002,-71.303189200000006,"2705042627",,"6"
-29.971077600000001,-71.298843099999999,"2705042636",,"6"
